timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754508795397,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508795455,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508795514,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508795572,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508795630,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508795691,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508795747,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508795805,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508795863,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508795921,68,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,26,0,0
1754508795989,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508796049,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508796108,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,19,0,0
1754508796167,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508796231,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508796292,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508796354,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508796416,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508796478,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508796536,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508796594,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508796653,75,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,34,0,0
1754508796728,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508796788,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508796850,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508796911,62,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,21,0,0
1754508796973,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,23,0,0
1754508797037,68,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,26,0,0
1754508797105,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508797161,66,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508797227,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,23,0,0
1754508797291,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508797351,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508797410,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508797468,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508797524,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508797581,59,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,18,0,0
1754508797640,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508797704,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508797760,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508797818,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
1754508797879,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508797936,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508797992,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508798049,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508798105,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508798161,61,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,19,0,0
1754508798222,60,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,20,0,0
